,id,day,event_type,category,region,device,account_age_days,num_prev_listings,prev_reports_30d,verification_level,price,num_images,message_length,contains_off_platform,urgency_words,payment_attempt,time_to_first_response_min,p_risk,is_flagged
0,1092,2,ad_post,furniture,metro,android,27.9,5,2,0,,3,64,1,0,0,8.8,0.9711290226960668,1
1,1398,5,message_send,other,rural,android,31.4,3,1,0,235.12,1,189,1,1,0,13.9,0.9653488071969538,1
2,1547,3,ad_post,other,metro,android,46.1,1,1,0,128.28,7,141,1,0,1,71.2,0.9489670558287681,1
3,1130,1,ad_post,phones,urban,android,23.5,3,2,1,169.8,3,229,1,0,0,5.2,0.9419798567757267,1
4,1064,4,message_send,bikes,rural,android,33.3,0,1,0,202.65,1,161,0,1,1,,0.9345257231460812,1
5,486,5,ad_post,fashion,rural,android,11.7,2,1,0,292.44,4,213,1,0,0,,0.9340723860574431,1
6,124,4,message_send,other,rural,android,16.0,4,1,0,99.13,6,156,1,0,0,25.4,0.9327085099604536,1
7,1831,3,ad_post,furniture,,ios,15.4,3,1,0,90.61,5,125,1,0,0,,0.9325449985424662,1
8,181,5,message_send,bikes,metro,ios,37.2,0,1,0,113.18,2,150,0,1,1,34.9,0.9321578808095656,1
9,1538,2,ad_post,phones,urban,android,47.8,3,2,1,227.32,0,158,1,0,0,22.2,0.9318988861111743,1
10,792,5,ad_post,fashion,metro,android,39.3,3,1,0,112.67,1,9,0,1,1,14.5,0.9307668433256988,1
11,3,5,ad_post,phones,rural,ios,81.3,5,0,1,1152.26,8,72,1,1,1,2.8,0.9287301660049806,1
12,751,4,ad_post,fashion,,ios,10.6,2,0,0,85.53,2,133,1,1,0,51.7,0.9237675817758167,1
13,1723,4,ad_post,other,rural,android,70.6,2,1,0,74.27,4,0,1,0,0,15.0,0.9174255499346992,1
14,1009,4,message_send,bikes,rural,ios,18.9,2,0,0,329.02,7,182,1,0,1,9.9,0.9169744030429772,1
15,1719,2,ad_post,fashion,urban,android,52.9,4,2,0,530.77,4,100,0,0,1,71.4,0.9158914259224131,1
16,1657,4,message_send,other,metro,ios,36.7,0,1,0,115.87,1,260,1,0,0,6.9,0.9100744187414389,1
17,330,3,ad_post,furniture,urban,android,23.0,0,0,0,,3,55,1,1,0,6.0,0.9079552977194839,1
18,161,5,ad_post,other,rural,android,53.5,5,1,0,74.7,1,135,1,0,0,10.6,0.9066372889387522,1
19,432,2,ad_post,furniture,urban,android,13.3,2,1,0,362.39,2,218,1,0,0,4.1,0.9063645045852782,1
20,255,4,ad_post,fashion,urban,android,36.7,5,1,0,156.54,1,100,1,0,0,,0.9035591360552324,1
21,207,1,ad_post,electronics,rural,android,9.7,6,0,0,323.35,3,179,1,0,1,1.1,0.9011446772841293,1
22,1155,5,message_send,phones,metro,ios,41.7,5,0,0,148.08,8,135,1,0,1,34.0,0.8977680685354488,1
23,1597,4,ad_post,furniture,rural,web,57.5,9,1,0,682.45,7,116,1,0,0,30.4,0.8970748106216699,1
24,1545,2,ad_post,other,metro,android,25.2,2,0,0,177.25,6,44,1,0,1,28.0,0.8961328422944053,1
25,540,3,message_send,electronics,metro,ios,41.7,2,1,1,1073.92,1,107,0,1,1,7.5,0.895834283283622,1
26,1290,5,ad_post,fashion,rural,ios,14.9,1,1,1,736.86,1,215,1,0,0,3.4,0.8950772350574602,1
27,1332,3,ad_post,phones,metro,android,48.1,2,1,1,409.7,4,74,0,1,1,4.3,0.8906116377663463,1
28,396,3,ad_post,other,urban,android,45.2,8,0,0,79.81,4,65,1,1,0,,0.8885012124599798,1
29,1610,3,ad_post,fashion,urban,android,9.8,2,0,0,,2,65,1,0,1,22.7,0.8838517569741611,1
30,1620,3,message_send,other,metro,android,74.1,5,0,0,200.92,1,154,1,1,0,,0.8771587783833951,1
31,375,3,ad_post,electronics,,ios,61.4,3,1,0,416.95,3,52,0,1,0,42.3,0.8765849971155356,1
32,126,1,message_send,furniture,urban,ios,38.3,2,2,1,279.22,0,128,0,0,1,22.9,0.8668991610891628,1
33,43,3,ad_post,furniture,metro,android,36.7,3,1,0,89.97,1,117,0,1,0,3.4,0.8653957712848219,1
34,880,3,ad_post,other,rural,ios,49.2,1,0,1,293.47,1,70,1,1,0,6.9,0.8635980484826743,1
35,18,4,message_send,fashion,metro,ios,18.0,4,0,0,153.99,6,89,0,1,1,6.8,0.8634751427085477,1
36,585,2,message_send,phones,rural,web,18.8,2,1,0,202.99,0,181,0,1,0,24.4,0.8628702296519478,1
37,1318,5,ad_post,phones,rural,android,38.1,3,0,0,348.87,10,139,0,1,1,11.8,0.8602010995088238,1
38,803,3,ad_post,furniture,urban,android,44.7,6,1,0,146.06,7,0,0,1,0,69.3,0.8581154746740111,1
39,1935,4,ad_post,bikes,metro,ios,27.1,3,0,0,837.61,3,0,1,0,0,,0.8578575743068371,1
40,451,2,message_send,bikes,metro,android,81.5,0,2,0,50.84,0,111,0,0,0,41.2,0.8564520408387906,1
41,1089,2,message_send,electronics,urban,ios,57.8,0,2,0,332.16,1,231,0,0,0,6.1,0.8545211115228825,1
42,312,4,ad_post,bikes,rural,android,41.1,2,1,0,236.41,3,63,0,0,1,42.5,0.8541743009651869,1
43,1713,2,ad_post,other,metro,android,71.3,3,1,0,68.61,5,96,0,1,0,8.6,0.8535587091210795,1
44,527,1,ad_post,bikes,urban,android,44.6,0,1,1,11.62,2,163,0,1,1,15.5,0.8533593457755978,1
45,1025,1,message_send,electronics,urban,ios,50.5,3,1,0,,2,150,0,1,0,26.8,0.8507911976019448,1
46,977,4,message_send,bikes,rural,ios,17.0,0,0,0,96.66,3,173,1,0,0,12.3,0.8502323104296158,1
47,1030,3,ad_post,fashion,urban,android,35.7,2,1,0,61.7,1,132,0,1,0,37.8,0.8471671442053003,1
48,1743,2,ad_post,electronics,urban,android,78.3,3,0,0,710.68,8,180,1,0,1,10.7,0.8463066100697303,1
49,521,2,ad_post,bikes,metro,android,69.4,1,1,0,143.63,1,197,0,1,0,10.2,0.8460360779872141,1
50,503,4,ad_post,other,rural,android,20.7,6,0,0,345.87,5,105,0,1,1,5.8,0.84563999244184,1
51,1917,1,ad_post,bikes,rural,android,6.4,5,0,0,,0,157,0,1,1,15.2,0.8452859951482835,1
52,1926,4,ad_post,other,metro,ios,22.8,2,0,1,,5,37,1,0,1,15.0,0.8439240753305547,1
53,1399,4,message_send,fashion,metro,android,101.1,2,0,0,147.57,3,83,1,0,1,7.5,0.8437940726620472,1
54,22,4,ad_post,electronics,urban,web,16.7,3,0,0,65.27,2,107,1,0,1,16.6,0.8434446221176083,1
55,1738,5,ad_post,other,urban,web,35.3,1,2,0,173.79,5,91,0,0,0,25.7,0.8427950797149245,1
56,1953,2,ad_post,other,metro,android,4.9,4,1,0,242.33,3,163,0,0,1,41.5,0.8425680865112272,1
57,736,3,ad_post,furniture,rural,android,10.3,3,0,0,231.41,3,35,1,0,0,31.8,0.8422082977010638,1
58,1105,3,ad_post,electronics,metro,ios,116.9,0,1,0,220.66,2,9,0,1,0,23.3,0.8412079839387612,1
59,30,4,ad_post,phones,metro,android,29.3,2,1,0,21.35,2,135,0,0,1,24.8,0.8401532921302944,1
60,5,5,message_send,electronics,metro,android,38.0,4,1,0,99.0,3,115,0,0,1,5.9,0.8400320613435894,1
61,1728,5,message_send,phones,metro,android,22.9,3,1,0,,1,209,0,0,1,1.7,0.8394676268835778,1
62,1328,2,message_send,other,metro,ios,19.5,3,2,1,73.44,2,87,0,0,0,31.2,0.8383388695672883,1
63,1057,3,message_send,other,rural,ios,22.3,2,0,0,82.97,1,141,0,1,1,13.4,0.8380620239512323,1
64,1340,4,message_send,electronics,metro,android,15.2,2,2,1,380.92,2,196,0,0,0,8.6,0.8376936943427512,1
65,1913,5,ad_post,phones,urban,ios,6.4,5,2,1,274.44,4,192,0,0,0,11.3,0.8332230894193439,1
66,516,4,ad_post,other,urban,ios,24.3,2,1,0,220.14,3,71,0,0,1,17.8,0.8311301441789591,1
67,419,5,ad_post,phones,metro,android,19.6,5,0,1,171.87,4,151,1,0,1,20.9,0.8280158105795994,1
68,719,2,message_send,other,metro,ios,25.8,4,1,0,1552.32,1,241,0,0,1,102.5,0.8264585311280536,1
69,999,5,ad_post,furniture,,ios,34.5,3,1,0,80.09,1,151,0,0,1,8.5,0.8259342103497885,1
70,1546,2,ad_post,furniture,metro,android,24.3,2,0,0,165.4,5,51,1,0,0,25.1,0.8252265484839196,1
71,1880,2,message_send,other,rural,ios,40.5,2,0,0,46.33,1,25,1,0,0,17.0,0.8251266156012869,1
72,378,4,message_send,phones,metro,ios,59.8,3,1,0,,5,228,0,0,1,23.8,0.8243440886812846,1
73,572,2,message_send,bikes,urban,android,37.6,0,0,0,610.85,5,120,0,1,1,4.8,0.8241513905357284,1
74,356,4,ad_post,other,metro,android,91.8,3,0,0,65.49,3,155,1,0,1,13.2,0.8240630118083677,1
75,1137,1,ad_post,phones,metro,android,40.6,3,0,0,103.62,2,84,0,1,1,17.1,0.8237651869344886,1
76,1582,2,ad_post,electronics,urban,ios,29.3,2,0,0,335.67,4,19,1,0,0,11.4,0.8236889644369871,1
77,620,4,ad_post,fashion,rural,android,25.2,2,0,0,64.16,1,109,1,0,0,19.3,0.8233182098899436,1
78,1342,5,message_send,electronics,,ios,38.0,1,0,0,555.83,1,206,0,1,1,,0.8227255547202736,1
79,1625,3,ad_post,bikes,rural,android,22.9,2,0,0,55.92,2,210,1,0,0,4.1,0.8220938372653841,1
80,1286,3,message_send,phones,metro,android,53.4,4,0,0,47.91,2,63,0,1,1,6.6,0.8185164646580962,1
